net_op_name,tech,mcc,mnc,psc_pci,rssi,rsrq,lat,long
orange,LTE,226,10,257,-92.0,-5,45.7545,21.2459
orange,LTE,226,10,257,-92.0,-5,45.7546,21.246
orange,LTE,226,10,257,-95.0,-9,45.7546,21.2462
orange,LTE,226,10,257,-95.0,-9,45.7546,21.2464
orange,LTE,226,10,257,-95.0,-9,45.7546,21.2466
orange,LTE,226,10,257,-93.0,-9,45.7546,21.2468
orange,LTE,226,10,257,-93.0,-9,45.7547,21.2469
orange,LTE,226,10,257,-93.0,-9,45.7547,21.2472
orange,LTE,226,10,257,-93.0,-9,45.7547,21.2475
orange,LTE,226,10,257,-93.0,-9,45.7547,21.2477
orange,LTE,226,10,257,-93.0,-9,45.7548,21.2479
orange,LTE,226,10,257,-93.0,-9,45.7548,21.2481
orange,LTE,226,10,257,-101.72,-9,45.7548,21.2484
orange,LTE,226,10,257,-98.0,-10,45.7549,21.2487
orange,LTE,226,10,235,-104.23,-15,45.7549,21.2492
orange,LTE,226,10,82,-100.89,-13,45.7549,21.2498
orange,LTE,226,10,82,-100.0,-14,45.7549,21.2501
orange,LTE,226,10,82,-100.0,-14,45.7548,21.2502
orange,LTE,226,10,82,-99.0,-13,45.7548,21.2504
orange,LTE,226,10,82,-101.0,-14,45.7547,21.2507
orange,LTE,226,10,82,-102.25,-14,45.7547,21.2509
orange,LTE,226,10,82,-104.0,-14,45.7547,21.2512
orange,LTE,226,10,82,-104.0,-14,45.7547,21.2514
orange,LTE,226,10,82,-110.0,-15,45.7547,21.2516
orange,LTE,226,10,82,-110.0,-15,45.7547,21.2518
orange,LTE,226,10,82,-110.0,-15,45.7547,21.252
orange,LTE,226,10,86,-81.0,-7,45.7547,21.2522
orange,LTE,226,10,86,-81.0,-7,45.7548,21.2524
orange,LTE,226,10,86,-81.0,-10,45.7549,21.2528
orange,LTE,226,10,86,-83.5,-10,45.755,21.253
orange,LTE,226,10,86,-90.0,-9,45.7551,21.2533
orange,LTE,226,10,86,-91.0,-8,45.7552,21.2534
orange,LTE,226,10,86,-91.0,-8,45.7552,21.2536
orange,LTE,226,10,86,-92.55,-8,45.7553,21.2537
orange,LTE,226,10,86,-94.44,-10,45.7554,21.2538
orange,LTE,226,10,86,-87.24,-10,45.7555,21.2541
orange,LTE,226,10,86,-92.0,-11,45.7556,21.2544
orange,LTE,226,10,86,-93.82,-11,45.7557,21.2544
orange,LTE,226,10,86,-97.0,-11,45.7558,21.2545
orange,LTE,226,10,86,-97.0,-11,45.7559,21.2546
orange,LTE,226,10,86,-100.0,-11,45.756,21.2547
orange,LTE,226,10,86,-100.0,-11,45.7561,21.2548
orange,LTE,226,10,86,-103.0,-11,45.7562,21.255
orange,LTE,226,10,86,-103.0,-11,45.7563,21.255
orange,LTE,226,10,86,-99.0,-10,45.7564,21.2552
orange,LTE,226,10,86,-92.18,-11,45.7565,21.2553
orange,LTE,226,10,82,-87.97,-10,45.7566,21.2553
orange,LTE,226,10,82,-91.0,-8,45.7567,21.2554
orange,LTE,226,10,82,-93.04,-8,45.7568,21.2555
orange,LTE,226,10,82,-97.0,-11,45.7569,21.2557
orange,LTE,226,10,82,-97.0,-11,45.757,21.2557
orange,LTE,226,10,82,-97.0,-11,45.7571,21.2558
orange,LTE,226,10,82,-97.0,-11,45.7572,21.2559
orange,LTE,226,10,82,-102.0,-13,45.7573,21.2559
orange,LTE,226,10,82,-102.0,-13,45.7574,21.256
orange,LTE,226,10,82,-102.0,-13,45.7575,21.2561
orange,LTE,226,10,82,-94.0,-12,45.7576,21.2562
orange,LTE,226,10,82,-94.0,-12,45.7577,21.2563
orange,LTE,226,10,82,-94.0,-12,45.7578,21.2565
orange,LTE,226,10,82,-98.0,-10,45.7579,21.2566
orange,LTE,226,10,82,-98.0,-10,45.758,21.2567
orange,LTE,226,10,82,-96.0,-9,45.7582,21.2568
orange,LTE,226,10,82,-96.0,-9,45.7583,21.2569
orange,LTE,226,10,82,-96.0,-9,45.7584,21.2571
orange,LTE,226,10,82,-89.0,-10,45.7585,21.2572
orange,LTE,226,10,82,-89.0,-10,45.7586,21.2573
orange,LTE,226,10,82,-89.0,-10,45.7587,21.2575
orange,LTE,226,10,82,-92.0,-13,45.7588,21.2576
orange,LTE,226,10,82,-92.0,-13,45.759,21.2578
orange,LTE,226,10,82,-92.0,-13,45.7591,21.2579
orange,LTE,226,10,82,-89.0,-12,45.7592,21.2581
orange,LTE,226,10,82,-89.0,-12,45.7593,21.2582
orange,LTE,226,10,82,-81.0,-10,45.7594,21.2584
orange,LTE,226,10,82,-81.0,-10,45.7596,21.2585
orange,LTE,226,10,82,-82.0,-12,45.7597,21.2586
orange,LTE,226,10,82,-82.0,-12,45.7598,21.2588
orange,LTE,226,10,82,-82.0,-12,45.76,21.2589
orange,LTE,226,10,82,-91.0,-13,45.7601,21.259
orange,LTE,226,10,82,-91.0,-13,45.7602,21.2591
orange,LTE,226,10,82,-93.0,-13,45.7604,21.2592
orange,LTE,226,10,82,-93.0,-13,45.7605,21.2593
orange,LTE,226,10,82,-91.0,-11,45.7607,21.2594
orange,LTE,226,10,82,-91.0,-11,45.7608,21.2595
orange,LTE,226,10,82,-89.0,-12,45.761,21.2596
orange,LTE,226,10,82,-89.0,-12,45.7611,21.2597
orange,LTE,226,10,82,-89.0,-12,45.7613,21.2598
orange,LTE,226,10,82,-80.0,-9,45.7614,21.2599
orange,LTE,226,10,82,-80.0,-9,45.7616,21.26
orange,LTE,226,10,82,-81.0,-9,45.7617,21.2601
orange,LTE,226,10,82,-81.0,-9,45.7619,21.2602
orange,LTE,226,10,82,-81.0,-9,45.762,21.2603
orange,LTE,226,10,82,-85.0,-10,45.7621,21.2604
orange,LTE,226,10,82,-85.0,-10,45.7623,21.2605
